TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,PaymentMethod
T00067,2025-02-16 00:00:00,C103,P042,S004,1,0,Credit Card
T00068,2024-03-15 00:00:00,C039,P002,S005,3,0,Credit Card
T00069,2023-11-14 00:00:00,C031,P040,S005,4,0.05,Mobile Money
T00070,2024-12-02 00:00:00,C116,P013,S004,3,0.15,Bank Transfer
T00071,2023-11-18 00:00:00,C146,P044,S005,1,0,Credit Card
T00072,2025-01-05 00:00:00,C161,P012,S002,3,0,Credit Card
T00073,2024-10-08 00:00:00,C062,P022,S002,5,0,Credit Card
T00074,2024-07-01 00:00:00,C001,P014,S004,4,0.15,Bank Transfer
T00075,2024-04-24 00:00:00,C009,P018,S002,3,0.1,Mobile Money
T00076,2025-05-20 00:00:00,C019,P005,S002,3,0.05,Mobile Money
T00077,2025-06-19 00:00:00,C030,P031,S005,2,0.05,Bank Transfer
T00078,2024-07-24 00:00:00,C037,P015,S001,1,0.05,Bank Transfer
T00079,2024-01-06 00:00:00,C153,P018,S005,3,0.15,Cash
T00080,2023-11-21 00:00:00,C120,P021,S003,4,0.1,Mobile Money
T00081,2024-06-20 00:00:00,C113,P009,S001,5,0,Mobile Money
T00082,2023-10-23 00:00:00,C189,P009,S003,5,0.1,Cash
T00083,2024-08-16 00:00:00,C024,P039,S002,5,0,Bank Transfer
T00084,2025-05-28 00:00:00,C148,P038,S001,2,0.15,Mobile Money
T00085,2023-10-13 00:00:00,C072,P014,S002,5,0.15,Mobile Money
T00086,2023-09-17 00:00:00,C024,P018,S004,3,0.15,Bank Transfer
T00087,2024-10-17 00:00:00,C083,P036,S001,2,0.1,Mobile Money
T00088,2025-05-23 00:00:00,C178,P024,S004,3,0.15,Cash
T00089,2025-01-31 00:00:00,C117,P049,S001,3,0.1,Bank Transfer
T00090,2023-11-15 00:00:00,C030,P046,S004,5,0,Mobile Money
T00091,2025-07-26 00:00:00,C106,P039,S001,2,0.1,Mobile Money
T00092,2025-05-06 00:00:00,C161,P049,S004,1,0.05,Bank Transfer
T00093,2023-09-23 00:00:00,C141,P048,S002,3,0.15,Mobile Money
T00094,2023-12-24 00:00:00,C032,P019,S001,5,0.05,Credit Card
T00095,2024-10-13 00:00:00,C080,P030,S005,1,0.15,Cash
T00096,2024-06-08 00:00:00,C058,P048,S001,4,0,Credit Card
T00097,2024-03-16 00:00:00,C128,P038,S003,5,0.1,Mobile Money
T00098,2024-08-15 00:00:00,C124,P009,S004,2,0.15,Credit Card
T00099,2024-10-18 00:00:00,C099,P017,S002,5,0.05,Cash
T00100,2025-07-07 00:00:00,C071,P023,S004,3,0.1,Cash
T00101,2025-06-06 00:00:00,C073,P013,S003,5,0.15,Credit Card
T00102,2025-07-16 00:00:00,C115,P006,S005,4,0.1,Bank Transfer
T00103,2024-12-29 00:00:00,C142,P016,S005,4,0.15,Bank Transfer
T00104,2025-01-18 00:00:00,C049,P032,S002,5,0.15,Credit Card
T00105,2024-01-14 00:00:00,C199,P011,S004,1,0.1,Mobile Money
T00106,2025-01-29 00:00:00,C181,P049,S004,4,0.05,Mobile Money
T00107,2025-03-07 00:00:00,C010,P010,S002,5,0.1,Cash
T00108,2025-08-02 00:00:00,C113,P039,S001,5,0.15,Cash
T00109,2023-11-09 00:00:00,C185,P030,S002,4,0.05,Cash
T00110,2024-07-21 00:00:00,C121,P014,S003,3,0.15,Cash
T00111,2024-03-24 00:00:00,C085,P043,S005,4,0.1,Mobile Money
T00112,2024-01-09 00:00:00,C139,P022,S001,5,0,Credit Card
T00113,2024-10-07 00:00:00,C162,P024,S003,2,0,Mobile Money
T00114,2025-01-18 00:00:00,C026,P027,S001,4,0.05,Bank Transfer
T00115,2025-06-13 00:00:00,C008,P038,S001,3,0,Bank Transfer
T00116,2024-02-14 00:00:00,C092,P033,S003,4,0.05,Credit Card
T00117,2024-06-08 00:00:00,C136,P006,S004,5,0.05,Credit Card
T00118,2024-07-01 00:00:00,C045,P037,S001,5,0.15,Credit Card
T00119,2024-09-16 00:00:00,C128,P033,S005,2,0.05,Mobile Money
T00120,2024-10-26 00:00:00,C164,P024,S003,4,0.1,Cash
T00121,2025-03-19 00:00:00,C120,P018,S003,5,0.05,Cash
T00122,2025-01-22 00:00:00,C114,P030,S003,5,0.1,Mobile Money
T00123,2025-03-30 00:00:00,C177,P042,S003,4,0.1,Credit Card
T00124,2024-01-04 00:00:00,C099,P016,S004,1,0.05,Mobile Money
T00125,2024-06-14 00:00:00,C147,P003,S003,5,0.1,Bank Transfer
T00126,2023-10-21 00:00:00,C006,P001,S004,3,0,Cash
T00127,2025-01-29 00:00:00,C156,P022,S004,3,0.05,Bank Transfer
T00128,2024-09-17 00:00:00,C057,P029,S002,5,0.1,Credit Card
T00129,2024-11-12 00:00:00,C161,P010,S001,1,0.1,Mobile Money
T00130,2025-06-29 00:00:00,C009,P003,S005,3,0.05,Cash
T00131,2024-01-10 00:00:00,C076,P015,S003,4,0.05,Credit Card
T00132,2025-05-20 00:00:00,C034,P007,S005,3,0.1,Credit Card
T00133,2024-04-14 00:00:00,C066,P016,S004,3,0.1,Cash
T00134,2024-05-26 00:00:00,C120,P045,S001,2,0.05,Mobile Money
T00135,2024-08-30 00:00:00,C143,P025,S003,1,0.15,Cash
T00136,2024-07-12 00:00:00,C068,P037,S005,1,0.15,Bank Transfer
T00137,2024-05-26 00:00:00,C173,P024,S003,5,0.15,Bank Transfer
T00138,2024-01-21 00:00:00,C028,P028,S002,4,0,Bank Transfer
T00139,2023-12-31 00:00:00,C157,P027,S002,1,0.15,Bank Transfer
T00140,2025-02-03 00:00:00,C167,P030,S004,1,0.05,Cash
T00141,2023-11-23 00:00:00,C010,P024,S003,4,0,Cash
T00142,2024-09-27 00:00:00,C061,P049,S005,2,0.15,Mobile Money
T00143,2025-08-09 00:00:00,C095,P033,S005,4,0.05,Mobile Money
T00144,2023-12-18 00:00:00,C168,P044,S001,4,0.15,Bank Transfer
T00145,2025-03-10 00:00:00,C009,P009,S003,2,0.15,Mobile Money
T00146,2024-05-12 00:00:00,C061,P039,S003,1,0.1,Bank Transfer
T00147,2024-09-17 00:00:00,C016,P035,S004,3,0.05,Cash
T00148,2024-04-09 00:00:00,C117,P016,S001,2,0,Cash
T00149,2023-10-16 00:00:00,C086,P014,S002,2,0.05,Cash
T00150,2024-08-30 00:00:00,C196,P029,S005,2,0.05,Credit Card
T00151,2024-09-04 00:00:00,C085,P021,S002,5,0,Bank Transfer
T00152,2024-10-21 00:00:00,C038,P044,S002,5,0.1,Credit Card
T00153,2024-04-20 00:00:00,C029,P006,S001,2,0,Bank Transfer
T00154,2025-07-02 00:00:00,C061,P026,S005,3,0,Credit Card
T00155,2024-07-25 00:00:00,C068,P014,S001,2,0.15,Cash
T00156,2024-11-19 00:00:00,C191,P008,S001,4,0.15,Bank Transfer
T00157,2024-09-29 00:00:00,C132,P003,S005,1,0.15,Credit Card
T00158,2024-08-22 00:00:00,C158,P023,S001,5,0.1,Mobile Money
T00159,2025-08-03 00:00:00,C165,P042,S001,1,0.15,Mobile Money
T00160,2023-10-06 00:00:00,C110,P021,S001,4,0.15,Cash
T00161,2025-05-17 00:00:00,C021,P046,S003,5,0.05,Cash
T00162,2024-05-03 00:00:00,C033,P029,S003,5,0.1,Mobile Money
T00163,2025-03-16 00:00:00,C153,P033,S005,3,0.15,Mobile Money
T00164,2024-07-28 00:00:00,C026,P003,S001,5,0.05,Mobile Money
T00165,2025-08-19 00:00:00,C116,P005,S002,4,0.1,Mobile Money
T00166,2025-01-28 00:00:00,C103,P030,S004,1,0.1,Mobile Money
T00167,2023-10-22 00:00:00,C081,P038,S003,3,0.05,Mobile Money
T00168,2024-03-11 00:00:00,C018,P022,S001,1,0,Mobile Money
T00169,2024-08-01 00:00:00,C025,P018,S003,2,0,Bank Transfer
T00170,2024-02-25 00:00:00,C172,P044,S001,4,0.1,Mobile Money
T00171,2023-12-23 00:00:00,C185,P035,S001,3,0.1,Bank Transfer
T00172,2025-01-18 00:00:00,C027,P045,S005,5,0.05,Credit Card
T00173,2024-09-02 00:00:00,C169,P027,S004,2,0,Bank Transfer
T00174,2025-05-22 00:00:00,C143,P010,S003,1,0.1,Credit Card
T00175,2024-11-27 00:00:00,C110,P006,S005,5,0,Bank Transfer
T00176,2025-08-13 00:00:00,C008,P012,S002,3,0.1,Bank Transfer
T00177,2025-08-17 00:00:00,C090,P023,S001,2,0.05,Mobile Money
T00178,2024-04-08 00:00:00,C018,P016,S002,1,0,Credit Card
T00179,2024-04-05 00:00:00,C097,P020,S004,4,0.1,Credit Card
T00180,2024-06-04 00:00:00,C095,P009,S003,3,0,Cash
T00181,2024-06-28 00:00:00,C040,P030,S002,5,0,Cash
T00182,2023-12-31 00:00:00,C070,P029,S004,4,0.15,Mobile Money
T00183,2025-05-21 00:00:00,C107,P012,S003,2,0,Bank Transfer
T00184,2024-08-23 00:00:00,C111,P002,S001,3,0.15,Bank Transfer
T00185,2025-07-02 00:00:00,C012,P030,S002,4,0,Cash
T00186,2024-06-21 00:00:00,C053,P029,S003,2,0.05,Bank Transfer
T00187,2024-09-26 00:00:00,C075,P013,S003,1,0,Mobile Money
T00188,2024-04-22 00:00:00,C192,P016,S004,2,0.05,Mobile Money
T00189,2025-03-26 00:00:00,C137,P044,S002,5,0.1,Cash
T00190,2025-05-30 00:00:00,C102,P020,S001,4,0,Mobile Money
T00191,2023-09-24 00:00:00,C020,P007,S003,5,0.15,Mobile Money
T00192,2023-10-27 00:00:00,C182,P019,S004,3,0,Mobile Money
T00193,2025-01-13 00:00:00,C006,P027,S003,2,0.15,Bank Transfer
T00194,2023-12-08 00:00:00,C023,P010,S004,1,0.05,Mobile Money
T00195,2025-06-07 00:00:00,C151,P016,S004,5,0,Mobile Money
T00196,2024-09-07 00:00:00,C080,P011,S003,2,0.1,Credit Card
T00197,2024-05-23 00:00:00,C020,P025,S005,1,0.05,Bank Transfer
T00198,2025-03-14 00:00:00,C090,P025,S002,2,0,Credit Card
T00199,2025-08-05 00:00:00,C066,P025,S002,2,0.05,Cash
T00200,2023-11-30 00:00:00,C046,P044,S004,4,0.15,Bank Transfer
T00201,2023-09-27 00:00:00,C161,P042,S003,2,0.15,Cash
T00202,2024-01-04 00:00:00,C121,P027,S004,3,0.1,Cash
T00203,2024-01-08 00:00:00,C091,P017,S005,1,0.1,Mobile Money
T00204,2025-07-24 00:00:00,C116,P050,S001,1,0.1,Bank Transfer
T00205,2025-04-19 00:00:00,C020,P004,S001,5,0.15,Mobile Money
T00206,2023-10-14 00:00:00,C149,P043,S005,1,0.15,Credit Card
T00207,2023-10-30 00:00:00,C083,P035,S005,4,0.05,Cash
T00208,2025-03-21 00:00:00,C116,P004,S001,3,0,Credit Card
T00209,2025-03-01 00:00:00,C011,P028,S002,4,0.15,Credit Card
T00210,2024-08-02 00:00:00,C094,P021,S003,3,0.15,Mobile Money
T00211,2025-04-08 00:00:00,C199,P023,S003,5,0,Bank Transfer
T00212,2025-06-16 00:00:00,C017,P045,S003,1,0.15,Bank Transfer
T00213,2024-11-28 00:00:00,C065,P008,S005,2,0.1,Cash
T00214,2024-10-10 00:00:00,C150,P025,S002,3,0.1,Mobile Money
T00215,2025-06-10 00:00:00,C034,P034,S005,1,0.1,Mobile Money
T00216,2024-08-22 00:00:00,C165,P031,S003,2,0,Mobile Money
T00217,2024-12-27 00:00:00,C131,P048,S003,1,0.1,Bank Transfer
T00218,2024-03-10 00:00:00,C047,P048,S002,3,0.15,Credit Card
T00219,2025-04-04 00:00:00,C058,P035,S002,2,0,Bank Transfer
T00220,2024-04-18 00:00:00,C026,P021,S005,5,0,Bank Transfer
T00221,2025-07-29 00:00:00,C197,P002,S005,2,0.15,Credit Card
T00222,2025-04-07 00:00:00,C042,P045,S002,5,0.05,Mobile Money
T00223,2025-08-13 00:00:00,C012,P046,S004,3,0.05,Mobile Money
T00224,2025-06-24 00:00:00,C157,P017,S003,4,0.05,Credit Card
T00225,2023-11-30 00:00:00,C080,P020,S004,2,0.1,Mobile Money
T00226,2024-05-18 00:00:00,C119,P020,S003,4,0.15,Credit Card
T00227,2024-08-25 00:00:00,C052,P032,S005,2,0.1,Cash
T00228,2024-06-13 00:00:00,C165,P026,S004,3,0,Cash
T00229,2025-07-12 00:00:00,C073,P042,S001,2,0.1,Mobile Money
T00230,2024-12-05 00:00:00,C132,P022,S002,4,0,Credit Card
T00231,2025-06-20 00:00:00,C116,P046,S003,1,0.15,Cash
T00232,2025-01-26 00:00:00,C102,P038,S005,3,0.05,Mobile Money
T00233,2024-08-11 00:00:00,C021,P050,S003,2,0,Bank Transfer
T00234,2025-04-18 00:00:00,C026,P021,S003,2,0.05,Cash
T00235,2025-08-10 00:00:00,C074,P007,S004,2,0.15,Mobile Money
T00236,2024-01-27 00:00:00,C158,P050,S001,1,0,Bank Transfer
T00237,2024-05-08 00:00:00,C056,P039,S002,5,0.15,Cash
T00238,2023-09-27 00:00:00,C199,P023,S003,2,0.1,Cash
T00239,2024-04-27 00:00:00,C013,P014,S002,4,0.15,Cash
T00240,2024-09-03 00:00:00,C029,P018,S004,5,0,Credit Card
T00241,2024-10-28 00:00:00,C184,P034,S002,3,0.15,Cash
T00242,2025-03-30 00:00:00,C158,P015,S003,2,0.15,Credit Card
T00243,2025-09-03 00:00:00,C171,P044,S001,5,0.1,Cash
T00244,2024-04-09 00:00:00,C135,P002,S005,5,0,Mobile Money
T00245,2024-09-14 00:00:00,C121,P011,S001,4,0.1,Bank Transfer
T00246,2024-06-03 00:00:00,C192,P030,S001,3,0,Bank Transfer
T00247,2024-12-07 00:00:00,C062,P022,S001,5,0.1,Credit Card
T00248,2023-11-17 00:00:00,C012,P035,S003,5,0.1,Credit Card
T00249,2025-02-02 00:00:00,C200,P039,S004,4,0.05,Credit Card
T00250,2025-07-08 00:00:00,C017,P037,S004,1,0.1,Credit Card
T00251,2024-08-03 00:00:00,C012,P022,S002,1,0.1,Bank Transfer
T00252,2024-03-20 00:00:00,C132,P046,S004,5,0.15,Bank Transfer
T00253,2024-02-20 00:00:00,C010,P004,S002,3,0.1,Cash
T00254,2025-03-16 00:00:00,C168,P046,S003,3,0,Bank Transfer
T00255,2024-11-11 00:00:00,C112,P039,S004,4,0.15,Bank Transfer
T00256,2024-09-29 00:00:00,C048,P015,S004,4,0.1,Bank Transfer
T00257,2024-10-18 00:00:00,C022,P040,S004,1,0.15,Credit Card
T00258,2025-03-27 00:00:00,C140,P046,S003,3,0,Cash
T00259,2025-05-10 00:00:00,C084,P011,S003,3,0.15,Mobile Money
T00260,2025-02-26 00:00:00,C043,P024,S004,3,0.15,Cash
T00261,2023-11-16 00:00:00,C187,P030,S003,5,0.15,Bank Transfer
T00262,2024-08-04 00:00:00,C164,P039,S001,1,0.15,Bank Transfer
T00263,2024-10-03 00:00:00,C132,P035,S002,1,0.05,Mobile Money
T00264,2025-02-19 00:00:00,C009,P037,S002,1,0.05,Bank Transfer
T00265,2025-05-01 00:00:00,C093,P044,S004,5,0,Credit Card
T00266,2024-05-23 00:00:00,C174,P014,S004,3,0.1,Mobile Money
T00267,2023-10-11 00:00:00,C196,P009,S001,5,0.05,Bank Transfer
T00268,2025-01-23 00:00:00,C102,P016,S003,3,0.05,Cash
T00269,2024-05-23 00:00:00,C007,P046,S002,4,0.15,Cash
T00270,2024-02-24 00:00:00,C068,P023,S003,4,0.05,Bank Transfer
T00271,2025-06-20 00:00:00,C178,P040,S004,2,0,Credit Card
T00272,2024-12-03 00:00:00,C019,P002,S004,2,0.15,Cash
T00273,2023-10-20 00:00:00,C175,P014,S003,3,0,Bank Transfer
T00274,2023-11-11 00:00:00,C077,P002,S002,2,0.1,Credit Card
T00275,2025-07-03 00:00:00,C032,P043,S002,2,0.05,Mobile Money
T00276,2023-10-13 00:00:00,C007,P031,S003,5,0.1,Mobile Money
T00277,2024-07-16 00:00:00,C142,P035,S002,5,0,Cash
T00278,2024-10-10 00:00:00,C080,P036,S004,4,0.15,Mobile Money
T00279,2025-07-13 00:00:00,C148,P012,S001,2,0.1,Cash
T00280,2025-02-05 00:00:00,C116,P020,S004,5,0.1,Credit Card
T00281,2024-10-14 00:00:00,C200,P047,S005,5,0.05,Credit Card
T00282,2025-03-09 00:00:00,C111,P023,S005,1,0,Credit Card
T00283,2024-07-12 00:00:00,C078,P026,S002,2,0.1,Credit Card
T00284,2024-06-07 00:00:00,C089,P022,S005,3,0,Bank Transfer
T00285,2024-07-01 00:00:00,C051,P009,S005,3,0.05,Bank Transfer
T00286,2023-10-11 00:00:00,C158,P050,S005,1,0.05,Credit Card
T00287,2024-07-11 00:00:00,C044,P048,S005,5,0.1,Cash
T00288,2024-04-16 00:00:00,C008,P041,S001,1,0.1,Credit Card
T00289,2024-05-25 00:00:00,C197,P001,S005,4,0,Mobile Money
T00290,2024-10-07 00:00:00,C161,P001,S005,3,0.1,Mobile Money
T00291,2025-06-12 00:00:00,C063,P043,S004,3,0.15,Cash
T00292,2024-07-02 00:00:00,C177,P041,S001,2,0.15,Mobile Money
T00293,2025-05-25 00:00:00,C124,P005,S004,2,0.1,Credit Card
T00294,2025-03-20 00:00:00,C081,P015,S003,3,0.15,Credit Card
T00295,2025-04-29 00:00:00,C195,P020,S003,5,0,Bank Transfer
T00296,2025-05-21 00:00:00,C062,P004,S004,1,0.1,Mobile Money
T00297,2024-10-04 00:00:00,C064,P017,S002,1,0,Bank Transfer
T00298,2024-08-21 00:00:00,C099,P009,S005,4,0.05,Credit Card
T00299,2023-11-21 00:00:00,C084,P027,S005,3,0.05,Credit Card
T00300,2023-11-15 00:00:00,C128,P011,S005,4,0.15,Bank Transfer
T00301,2024-12-07 00:00:00,C128,P032,S001,1,0.15,Mobile Money
T00302,2024-12-11 00:00:00,C062,P014,S002,5,0.1,Cash
T00303,2025-09-09 00:00:00,C013,P017,S003,4,0.15,Bank Transfer
T00304,2024-06-08 00:00:00,C138,P014,S001,1,0.15,Credit Card
T00305,2024-10-08 00:00:00,C068,P029,S003,4,0.1,Cash
T00306,2024-10-17 00:00:00,C103,P001,S001,5,0.05,Bank Transfer
T00307,2025-07-14 00:00:00,C142,P012,S003,1,0.15,Mobile Money
T00308,2024-11-23 00:00:00,C196,P023,S005,3,0,Credit Card
T00309,2024-04-07 00:00:00,C025,P049,S004,3,0.1,Bank Transfer
T00310,2023-11-28 00:00:00,C194,P010,S002,2,0.15,Cash
T00311,2024-07-01 00:00:00,C012,P031,S001,2,0.1,Mobile Money
T00312,2025-01-08 00:00:00,C133,P024,S004,2,0.05,Bank Transfer
T00313,2024-12-19 00:00:00,C157,P038,S003,2,0.15,Bank Transfer
T00314,2025-04-13 00:00:00,C152,P028,S003,5,0.15,Bank Transfer
T00315,2023-09-19 00:00:00,C122,P026,S001,3,0.1,Cash
T00316,2025-04-01 00:00:00,C107,P003,S005,3,0,Mobile Money
T00317,2025-02-27 00:00:00,C068,P047,S005,5,0.05,Cash
T00318,2025-05-24 00:00:00,C150,P043,S004,2,0.15,Credit Card
T00319,2025-02-05 00:00:00,C175,P014,S002,1,0,Credit Card
T00320,2024-10-06 00:00:00,C005,P032,S004,3,0.15,Credit Card
T00321,2024-11-08 00:00:00,C106,P016,S002,4,0.15,Cash
T00322,2024-12-03 00:00:00,C181,P018,S002,5,0.05,Bank Transfer
T00323,2025-04-25 00:00:00,C170,P037,S004,5,0.15,Bank Transfer
T00324,2024-04-20 00:00:00,C045,P003,S004,5,0.1,Bank Transfer
T00325,2023-12-29 00:00:00,C174,P014,S003,5,0.15,Credit Card
T00326,2024-10-02 00:00:00,C064,P002,S003,5,0.1,Credit Card
T00327,2025-06-27 00:00:00,C077,P045,S003,2,0.15,Bank Transfer
T00328,2025-05-22 00:00:00,C123,P043,S003,5,0.1,Bank Transfer
T00329,2024-12-13 00:00:00,C032,P036,S005,5,0.15,Mobile Money
T00330,2023-11-17 00:00:00,C089,P034,S002,3,0,Bank Transfer
T00331,2024-11-26 00:00:00,C183,P046,S001,3,0.15,Bank Transfer
T00332,2024-03-11 00:00:00,C192,P002,S004,2,0.05,Bank Transfer
T00333,2024-09-18 00:00:00,C144,P026,S003,2,0,Credit Card
T00334,2025-09-01 00:00:00,C063,P026,S001,5,0.05,Credit Card
T00335,2024-10-26 00:00:00,C014,P041,S001,4,0.1,Mobile Money
T00336,2024-12-12 00:00:00,C026,P014,S002,1,0.05,Mobile Money
T00337,2024-12-20 00:00:00,C168,P043,S004,4,0.05,Bank Transfer
T00338,2024-10-31 00:00:00,C083,P010,S003,1,0,Credit Card
T00339,2024-04-13 00:00:00,C137,P039,S001,2,0.15,Credit Card
T00340,2024-05-08 00:00:00,C010,P010,S004,4,0.05,Bank Transfer
T00341,2023-11-24 00:00:00,C010,P050,S001,3,0,Bank Transfer
T00342,2025-07-08 00:00:00,C073,P037,S004,5,0.15,Credit Card
T00343,2024-11-23 00:00:00,C130,P022,S004,3,0.05,Cash
T00344,2025-02-20 00:00:00,C085,P045,S002,4,0.1,Credit Card
T00345,2025-08-30 00:00:00,C004,P033,S003,3,0.05,Credit Card
T00346,2025-03-28 00:00:00,C157,P014,S004,4,0.1,Cash
T00347,2025-03-03 00:00:00,C103,P030,S001,2,0.05,Mobile Money
T00348,2025-03-10 00:00:00,C083,P025,S002,1,0.1,Mobile Money
T00349,2025-07-12 00:00:00,C061,P025,S004,3,0.1,Bank Transfer
T00350,2024-12-25 00:00:00,C150,P015,S005,1,0.1,Bank Transfer
T00351,2024-12-24 00:00:00,C178,P047,S002,1,0,Mobile Money
T00352,2024-01-04 00:00:00,C079,P011,S002,4,0.1,Cash
T00353,2025-03-14 00:00:00,C164,P015,S003,3,0.05,Credit Card
T00354,2023-12-24 00:00:00,C035,P039,S004,2,0.15,Bank Transfer
T00355,2023-09-16 00:00:00,C107,P031,S005,4,0.05,Credit Card
T00356,2025-08-29 00:00:00,C175,P050,S005,1,0.15,Bank Transfer
T00357,2024-08-20 00:00:00,C020,P015,S005,1,0,Credit Card
T00358,2023-10-28 00:00:00,C147,P049,S005,2,0.05,Bank Transfer
T00359,2025-03-22 00:00:00,C134,P006,S004,1,0.05,Mobile Money
T00360,2024-01-30 00:00:00,C024,P008,S005,4,0,Mobile Money
T00361,2025-08-18 00:00:00,C034,P011,S005,4,0.15,Cash
T00362,2024-06-17 00:00:00,C144,P026,S004,3,0,Mobile Money
T00363,2024-09-09 00:00:00,C066,P018,S001,2,0,Cash
T00364,2024-06-28 00:00:00,C109,P024,S003,1,0,Cash
T00365,2024-06-15 00:00:00,C121,P045,S001,3,0.15,Credit Card
T00366,2025-01-18 00:00:00,C197,P034,S002,4,0.1,Mobile Money
